OBJECTID,IN_FID,Subbasin,NEAR_FID,NEAR_DIST,DISTANCE_M,GROUP_,Reach,REACH_ID,X_Section,X_SECT_ID,POINT_X,POINT_Y,POINT_Z,ELEVATION_,KTQ_edit
61,60,M02-011,859630,14.15419143,46.43763592,Segunda_S,14,Segunda_S_14,3,Segunda_S_14_3,33.44260501,-117.6160783,110.17,33.579816,"yes, xyz are slightly off"
26,25,L01-010,1152739,371.6808948,1219.425508,SJ_Crkl,1,SJ_Crkl_1,40,SJ_Crkl_1_40,33.46312261,-117.6829115,6.44,1.962912,"yes, xyz are slightly off"
52,51,L01-090,894754,127.8155292,419.3422875,SJ_Crkl,13,SJ_Crkl_13,2,SJ_Crkl_13_2,33.52349884,-117.600913,209.45,63.84036,
49,48,L01-050,61119,67.19916974,220.469717,SJ_Crkl,14,SJ_Crkl_14,7,SJ_Crkl_14_7,33.54732854,-117.6113601,317.78,96.859344,
27,26,L01-020,910664,66.87873707,219.4184287,SJ_Crkl,4,SJ_Crkl_4,78,SJ_Crkl_4_78,33.49297144,-117.6609158,64.71,19.723608,"yes, xyz are slightly off"
50,49,L01-040,392105,32.38404721,106.2468741,SJ_Crkl,14,SJ_Crkl_14,36,SJ_Crkl_14_36,33.52617948,-117.6119932,187.42,57.125616,"yes, xyz are slightly off"
32,31,L01-030,453448,115.2169439,378.0083461,SJ_Crkl,4,SJ_Crkl_4,67,SJ_Crkl_4_67,33.49953701,-117.652259,83.32,25.395936,
55,54,L01-120,180913,16.22650516,53.23656549,SJ_Crkl,5,SJ_Crkl_5,2,SJ_Crkl_5_2,33.53401632,-117.5545752,346.84,105.716832,
10,9,J04-010,891866,62.46797179,204.947414,Sulphur,3,Sulphur_3,9,Sulphur_3_9,33.55069926,-117.7179128,140.03,42.681144,
65,64,J01-050,1207723,109.7122742,359.9484061,Sulphur,5,Sulphur_5,32,Sulphur_5_32,33.55013566,-117.7062104,201.85,61.52388,changed from 5_31
9,8,J03-010,1190785,7.409367854,24.30894965,Sulphur,5,Sulphur_5,4,Sulphur_5_4,33.53378987,-117.7076625,211.24,64.385952,
42,41,L02-050,1064313,98.91305649,324.5179019,Tijeras,1,Tijeras_1,2,Tijeras_1_2,33.59639607,-117.6282536,543.07,165.527736,
45,44,L02-060,1003832,129.2455626,424.0339979,Tijeras,4,Tijeras_4,4,Tijeras_4_4,33.63040765,-117.5956646,893.33,272.286984,was 4_3
43,42,L02-051,1010460,55.1303593,180.8738822,Tijeras,4,Tijeras_4,45,Tijeras_4_45,33.61067712,-117.6161856,677.2,206.41056,
28,27,L02-010,701093,46.0419753,151.0563494,Trabuco,1,Trabuco_1,35,Trabuco_1_35,33.49772289,-117.6658389,76.09,23.192232,"yes, xyz are slightly off"
41,40,L02-030,538341,15.05465382,49.39190885,Trabuco,13,Trabuco_13,72,Trabuco_13_72,33.59248825,-117.6333175,502.57,153.183336,"yes, xyz are slightly off"
44,43,L02-031,231665,35.38468625,116.0914903,Trabuco,13,Trabuco_13,5,Trabuco_13_5,33.63492591,-117.6177232,773.14,235.653072,
46,45,L02-040,478465,5.030863561,16.50545788,Trabuco,14,Trabuco_14,18,Trabuco_14_18,33.64850104,-117.6030503,885.47,269.891256,
47,46,L02-041,718024,4880.303404,16011.49411,Trabuco,17,Trabuco_17,1,Trabuco_17_1,33.66482386,-117.568283,1138.76,347.094048,
34,33,L02-021,656546,28.77129432,94.39401023,Trabuco,2,Trabuco_2,38,Trabuco_2_38,33.5370487,-117.6638791,224.63,68.467224,
29,28,L02-020,667214,27.78116693,91.1455608,Trabuco,2,Trabuco_2,69,Trabuco_2_69,33.52030638,-117.6719086,132,40.2336,"yes, xyz are slightly off"
40,39,L02-023,1039804,65.20997393,213.943484,Trabuco,4,Trabuco_4,11,Trabuco_4_11,33.56969047,-117.6467887,346.28,105.546144,
39,38,L02-022,1058126,77.75594063,255.1047921,Trabuco,4,Trabuco_4,25,Trabuco_4_25,33.5612797,-117.6522418,306.22,93.335856,
7,6,J01-030,907724,31.38848498,102.9805938,Wood,1,Wood_1,21,Wood_1_21,33.54214883,-117.7381796,95.12,28.992576,
8,7,J01-031,851717,1280.812613,4202.141118,Wood,11,Wood_11,1,Wood_11_1,33.58216557,-117.7451184,452.12,137.806176,
